,Date,Sym,Order,Qty
72,2008-05-15 16:00:00,CELG,Buy,100
73,2008-05-22 16:00:00,CELG,Sell,100
74,2008-08-11 16:00:00,CF,Buy,100
75,2008-08-18 16:00:00,CF,Sell,100
76,2009-09-17 16:00:00,CLX,Buy,100
77,2009-09-24 16:00:00,CLX,Sell,100
78,2008-02-27 16:00:00,CMS,Buy,100
79,2008-03-05 16:00:00,CMS,Sell,100
80,2008-05-19 16:00:00,CPB,Buy,100
81,2008-05-27 16:00:00,CPB,Sell,100
82,2009-05-29 16:00:00,CTAS,Buy,100
83,2009-06-05 16:00:00,CTAS,Sell,100
84,2009-12-23 16:00:00,CTAS,Buy,100
85,2009-12-30 16:00:00,CTAS,Sell,100
86,2009-09-18 16:00:00,CVH,Buy,100
87,2009-09-25 16:00:00,CVH,Sell,100
88,2009-05-05 16:00:00,DF,Buy,100
89,2009-05-12 16:00:00,DF,Sell,100
90,2009-10-16 16:00:00,DFS,Buy,100
91,2009-10-23 16:00:00,DFS,Sell,100
92,2009-07-28 16:00:00,DGX,Buy,100
93,2009-08-04 16:00:00,DGX,Sell,100
94,2009-09-16 16:00:00,DGX,Buy,100
95,2009-09-23 16:00:00,DGX,Sell,100
96,2009-05-01 16:00:00,DLTR,Buy,100
97,2009-05-08 16:00:00,DLTR,Sell,100
98,2008-05-01 16:00:00,DNR,Buy,100
99,2008-05-08 16:00:00,DNR,Sell,100
100,2008-08-05 16:00:00,DNR,Buy,100
101,2008-08-12 16:00:00,DNR,Sell,100
102,2008-08-11 16:00:00,DO,Buy,100
103,2008-08-18 16:00:00,DO,Sell,100
104,2009-08-07 16:00:00,DRI,Buy,100
105,2009-08-14 16:00:00,DRI,Sell,100
106,2009-06-05 16:00:00,DTV,Buy,100
107,2009-06-12 16:00:00,DTV,Sell,100
108,2008-08-15 16:00:00,DV,Buy,100
109,2008-08-22 16:00:00,DV,Sell,100
110,2009-05-04 16:00:00,DV,Buy,100
111,2009-05-11 16:00:00,DV,Sell,100
112,2008-05-16 16:00:00,EA,Buy,100
113,2008-05-23 16:00:00,EA,Sell,100
114,2009-06-05 16:00:00,EFX,Buy,100
115,2009-06-12 16:00:00,EFX,Sell,100
116,2008-12-31 16:00:00,ESRX,Buy,100
117,2009-01-08 16:00:00,ESRX,Sell,100
118,2009-08-28 16:00:00,EW,Buy,100
119,2009-09-04 16:00:00,EW,Sell,100
120,2008-05-19 16:00:00,EXPE,Buy,100
121,2008-05-27 16:00:00,EXPE,Sell,100
122,2009-09-17 16:00:00,F,Buy,100
123,2009-09-24 16:00:00,F,Sell,100
124,2009-05-07 16:00:00,FDO,Buy,100
125,2009-05-14 16:00:00,FDO,Sell,100
126,2009-08-13 16:00:00,FDO,Buy,100
127,2009-08-20 16:00:00,FDO,Sell,100
128,2009-05-29 16:00:00,FLIR,Buy,100
129,2009-06-05 16:00:00,FLIR,Sell,100
130,2008-08-05 16:00:00,FLS,Buy,100
131,2008-08-12 16:00:00,FLS,Sell,100
132,2008-08-11 16:00:00,FSLR,Buy,100
133,2008-08-18 16:00:00,FSLR,Sell,100
134,2009-03-18 16:00:00,GIS,Buy,100
135,2009-03-25 16:00:00,GIS,Sell,100
136,2009-08-07 16:00:00,GIS,Buy,100
137,2009-08-14 16:00:00,GIS,Sell,100
138,2009-05-06 16:00:00,GME,Buy,100
139,2009-05-13 16:00:00,GME,Sell,100
140,2008-02-26 16:00:00,GOOG,Buy,100
141,2008-03-04 16:00:00,GOOG,Sell,100
142,2009-08-28 16:00:00,GT,Buy,100
143,2009-09-04 16:00:00,GT,Sell,100
144,2008-08-15 16:00:00,HAR,Buy,100
145,2008-08-22 16:00:00,HAR,Sell,100
146,2009-12-28 16:00:00,HAR,Buy,100
147,2009-12-30 16:00:00,HAR,Sell,100
148,2009-08-25 16:00:00,HCBK,Buy,100
149,2009-09-01 16:00:00,HCBK,Sell,100
150,2009-03-24 16:00:00,HRB,Buy,100
151,2009-03-31 16:00:00,HRB,Sell,100
152,2008-02-27 16:00:00,HSP,Buy,100
153,2008-03-05 16:00:00,HSP,Sell,100
154,2009-01-06 16:00:00,ICE,Buy,100
155,2009-01-13 16:00:00,ICE,Sell,100
156,2008-05-01 16:00:00,IFF,Buy,100
157,2008-05-08 16:00:00,IFF,Sell,100
158,2009-05-01 16:00:00,IFF,Buy,100
159,2009-05-08 16:00:00,IFF,Sell,100
160,2009-08-21 16:00:00,INTU,Buy,100
161,2009-08-28 16:00:00,INTU,Sell,100
162,2008-05-02 16:00:00,IP,Buy,100
163,2008-05-09 16:00:00,IP,Sell,100
164,2008-04-18 16:00:00,ISRG,Buy,100
165,2008-04-25 16:00:00,ISRG,Sell,100
166,2008-05-01 16:00:00,JDSU,Buy,100
167,2008-05-08 16:00:00,JDSU,Sell,100
168,2009-04-30 16:00:00,JEC,Buy,100
169,2009-05-07 16:00:00,JEC,Sell,100
170,2009-11-17 16:00:00,JEC,Buy,100
171,2009-11-24 16:00:00,JEC,Sell,100
172,2009-08-03 16:00:00,K,Buy,100
173,2009-08-10 16:00:00,K,Sell,100
174,2009-08-07 16:00:00,K,Buy,100
175,2009-08-14 16:00:00,K,Sell,100
176,2009-07-21 16:00:00,KEY,Buy,100
177,2009-07-28 16:00:00,KEY,Sell,100
178,2008-04-28 16:00:00,KFT,Buy,100
179,2008-05-05 16:00:00,KFT,Sell,100
180,2008-04-25 16:00:00,KO,Buy,100
181,2008-05-02 16:00:00,KO,Sell,100
182,2009-08-13 16:00:00,KO,Buy,100
183,2009-08-20 16:00:00,KO,Sell,100
184,2009-09-15 16:00:00,KR,Buy,100
185,2009-09-22 16:00:00,KR,Sell,100
186,2009-09-21 16:00:00,KR,Buy,100
187,2009-09-28 16:00:00,KR,Sell,100
188,2009-11-18 16:00:00,KR,Buy,100
189,2009-11-25 16:00:00,KR,Sell,100
190,2009-05-01 16:00:00,KSS,Buy,100
191,2009-05-08 16:00:00,KSS,Sell,100
192,2009-09-16 16:00:00,LH,Buy,100
193,2009-09-23 16:00:00,LH,Sell,100
194,2008-04-21 16:00:00,LLY,Buy,100
195,2008-04-28 16:00:00,LLY,Sell,100
196,2009-07-21 16:00:00,LMT,Buy,100
197,2009-07-28 16:00:00,LMT,Sell,100
198,2009-07-24 16:00:00,LMT,Buy,100
199,2009-07-31 16:00:00,LMT,Sell,100
200,2008-12-16 16:00:00,LO,Buy,100
201,2008-12-23 16:00:00,LO,Sell,100
202,2009-04-30 16:00:00,MCD,Buy,100
203,2009-05-07 16:00:00,MCD,Sell,100
204,2009-07-23 16:00:00,MCD,Buy,100
205,2009-07-30 16:00:00,MCD,Sell,100
206,2009-07-30 16:00:00,MCO,Buy,100
207,2009-08-06 16:00:00,MCO,Sell,100
208,2009-09-21 16:00:00,MCO,Buy,100
209,2009-09-28 16:00:00,MCO,Sell,100
210,2008-04-28 16:00:00,MMM,Buy,100
211,2008-05-05 16:00:00,MMM,Sell,100
212,2009-05-29 16:00:00,MNST,Buy,100
213,2009-06-05 16:00:00,MNST,Sell,100
214,2009-06-05 16:00:00,MNST,Buy,100
215,2009-06-12 16:00:00,MNST,Sell,100
216,2008-08-06 16:00:00,MOLX,Buy,100
217,2008-08-13 16:00:00,MOLX,Sell,100
218,2009-09-10 16:00:00,MON,Buy,100
219,2009-09-17 16:00:00,MON,Sell,100
220,2008-08-11 16:00:00,MOS,Buy,100
221,2008-08-18 16:00:00,MOS,Sell,100
222,2009-08-28 16:00:00,MOS,Buy,100
223,2009-09-04 16:00:00,MOS,Sell,100
224,2009-10-16 16:00:00,MSI,Buy,100
225,2009-10-23 16:00:00,MSI,Sell,100
226,2009-04-30 16:00:00,MYL,Buy,100
227,2009-05-07 16:00:00,MYL,Sell,100
228,2009-09-11 16:00:00,NEE,Buy,100
229,2009-09-18 16:00:00,NEE,Sell,100
230,2008-08-05 16:00:00,NEM,Buy,100
231,2008-08-12 16:00:00,NEM,Sell,100
232,2008-08-11 16:00:00,NEM,Buy,100
233,2008-08-18 16:00:00,NEM,Sell,100
234,2009-04-16 16:00:00,NEM,Buy,100
235,2009-04-23 16:00:00,NEM,Sell,100
236,2009-12-21 16:00:00,NEM,Buy,100
237,2009-12-29 16:00:00,NEM,Sell,100
238,2009-05-07 16:00:00,NFLX,Buy,100
239,2009-05-14 16:00:00,NFLX,Sell,100
240,2009-08-28 16:00:00,NTRS,Buy,100
241,2009-09-04 16:00:00,NTRS,Sell,100
242,2009-05-08 16:00:00,NVDA,Buy,100
243,2009-05-15 16:00:00,NVDA,Sell,100
244,2008-04-28 16:00:00,NWL,Buy,100
245,2008-05-05 16:00:00,NWL,Sell,100
246,2008-05-01 16:00:00,OI,Buy,100
247,2008-05-08 16:00:00,OI,Sell,100
248,2008-08-08 16:00:00,OKE,Buy,100
249,2008-08-15 16:00:00,OKE,Sell,100
250,2008-08-15 16:00:00,OKE,Buy,100
251,2008-08-22 16:00:00,OKE,Sell,100
252,2009-05-07 16:00:00,ORCL,Buy,100
253,2009-05-14 16:00:00,ORCL,Sell,100
254,2009-05-08 16:00:00,ORLY,Buy,100
255,2009-05-15 16:00:00,ORLY,Sell,100
256,2009-09-11 16:00:00,ORLY,Buy,100
257,2009-09-18 16:00:00,ORLY,Sell,100
258,2009-04-17 16:00:00,PBCT,Buy,100
259,2009-04-24 16:00:00,PBCT,Sell,100
260,2009-05-07 16:00:00,PBI,Buy,100
261,2009-05-14 16:00:00,PBI,Sell,100
262,2009-06-03 16:00:00,PCS,Buy,100
263,2009-06-10 16:00:00,PCS,Sell,100
264,2009-07-30 16:00:00,PCS,Buy,100
265,2009-08-06 16:00:00,PCS,Sell,100
266,2008-04-21 16:00:00,PEP,Buy,100
267,2008-04-28 16:00:00,PEP,Sell,100
268,2009-12-21 16:00:00,PG,Buy,100
269,2009-12-29 16:00:00,PG,Sell,100
270,2009-08-28 16:00:00,PM,Buy,100
271,2009-09-04 16:00:00,PM,Sell,100
272,2009-07-24 16:00:00,PNC,Buy,100
273,2009-07-31 16:00:00,PNC,Sell,100
274,2009-08-04 16:00:00,PPL,Buy,100
275,2009-08-11 16:00:00,PPL,Sell,100
276,2008-05-06 16:00:00,PRGO,Buy,100
277,2008-05-13 16:00:00,PRGO,Sell,100
278,2009-01-06 16:00:00,PRGO,Buy,100
279,2009-01-13 16:00:00,PRGO,Sell,100
280,2009-08-07 16:00:00,PRGO,Buy,100
281,2009-08-14 16:00:00,PRGO,Sell,100
282,2009-01-06 16:00:00,RAI,Buy,100
283,2009-01-13 16:00:00,RAI,Sell,100
284,2008-05-01 16:00:00,RDC,Buy,100
285,2008-05-08 16:00:00,RDC,Sell,100
286,2008-05-19 16:00:00,RF,Buy,100
287,2008-05-27 16:00:00,RF,Sell,100
288,2009-07-21 16:00:00,RF,Buy,100
289,2009-07-28 16:00:00,RF,Sell,100
290,2009-05-07 16:00:00,ROST,Buy,100
291,2009-05-14 16:00:00,ROST,Sell,100
292,2008-08-06 16:00:00,S,Buy,100
293,2008-08-13 16:00:00,S,Sell,100
294,2008-05-02 16:00:00,SEE,Buy,100
295,2008-05-09 16:00:00,SEE,Sell,100
296,2008-04-21 16:00:00,SHLD,Buy,100
297,2008-04-28 16:00:00,SHLD,Sell,100
298,2009-09-10 16:00:00,SHW,Buy,100
299,2009-09-17 16:00:00,SHW,Sell,100
300,2008-05-02 16:00:00,SIAL,Buy,100
301,2008-05-09 16:00:00,SIAL,Sell,100
302,2009-12-21 16:00:00,SIAL,Buy,100
303,2009-12-29 16:00:00,SIAL,Sell,100
304,2009-04-29 16:00:00,SRCL,Buy,100
305,2009-05-06 16:00:00,SRCL,Sell,100
306,2008-05-02 16:00:00,STJ,Buy,100
307,2008-05-09 16:00:00,STJ,Sell,100
308,2009-04-30 16:00:00,STJ,Buy,100
309,2009-05-07 16:00:00,STJ,Sell,100
310,2009-07-22 16:00:00,STJ,Buy,100
311,2009-07-29 16:00:00,STJ,Sell,100
312,2008-04-28 16:00:00,SUN,Buy,100
313,2008-05-05 16:00:00,SUN,Sell,100
314,2009-07-23 16:00:00,SWY,Buy,100
315,2009-07-30 16:00:00,SWY,Sell,100
316,2009-05-07 16:00:00,SYMC,Buy,100
317,2009-05-14 16:00:00,SYMC,Sell,100
318,2008-08-05 16:00:00,TAP,Buy,100
319,2008-08-12 16:00:00,TAP,Sell,100
320,2009-12-14 16:00:00,TAP,Buy,100
321,2009-12-21 16:00:00,TAP,Sell,100
322,2008-04-01 16:00:00,TDC,Buy,100
323,2008-04-08 16:00:00,TDC,Sell,100
324,2009-04-13 16:00:00,TDC,Buy,100
325,2009-04-20 16:00:00,TDC,Sell,100
326,2008-11-04 16:00:00,THC,Buy,100
327,2008-11-11 16:00:00,THC,Sell,100
328,2009-05-07 16:00:00,TRV,Buy,100
329,2009-05-14 16:00:00,TRV,Sell,100
330,2009-07-20 16:00:00,TSN,Buy,100
331,2009-07-27 16:00:00,TSN,Sell,100
332,2009-06-03 16:00:00,TSO,Buy,100
333,2009-06-10 16:00:00,TSO,Sell,100
334,2009-04-29 16:00:00,TSS,Buy,100
335,2009-05-06 16:00:00,TSS,Sell,100
336,2009-12-23 16:00:00,TWC,Buy,100
337,2009-12-30 16:00:00,TWC,Sell,100
338,2009-09-17 16:00:00,TXN,Buy,100
339,2009-09-24 16:00:00,TXN,Sell,100
340,2008-05-16 16:00:00,URBN,Buy,100
341,2008-05-23 16:00:00,URBN,Sell,100
342,2009-04-29 16:00:00,VFC,Buy,100
343,2009-05-06 16:00:00,VFC,Sell,100
344,2009-06-03 16:00:00,VLO,Buy,100
345,2009-06-10 16:00:00,VLO,Sell,100
346,2008-05-06 16:00:00,VMC,Buy,100
347,2008-05-13 16:00:00,VMC,Sell,100
348,2009-05-07 16:00:00,VZ,Buy,100
349,2009-05-14 16:00:00,VZ,Sell,100
350,2009-09-17 16:00:00,VZ,Buy,100
351,2009-09-24 16:00:00,VZ,Sell,100
352,2009-05-08 16:00:00,WEC,Buy,100
353,2009-05-15 16:00:00,WEC,Sell,100
354,2008-08-06 16:00:00,WFM,Buy,100
355,2008-08-13 16:00:00,WFM,Sell,100
356,2009-09-14 16:00:00,WMT,Buy,100
357,2009-09-21 16:00:00,WMT,Sell,100
358,2008-05-02 16:00:00,WPO,Buy,100
359,2008-05-09 16:00:00,WPO,Sell,100
360,2009-05-04 16:00:00,WPO,Buy,100
361,2009-05-11 16:00:00,WPO,Sell,100
362,2009-05-07 16:00:00,XLNX,Buy,100
363,2009-05-14 16:00:00,XLNX,Sell,100
364,2009-12-14 16:00:00,XOM,Buy,100
365,2009-12-21 16:00:00,XOM,Sell,100
